Team,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
Utah Jazz,0.443,0.358,0.476,0.772946859903382,9,31.1,17.8,7.3,3.8,12.1,20.2,96.8,
San Antonio Spurs,0.443,0.344,0.483,0.769230769230769,9.8,31.7,21.4,7.5,4.1,14.4,19.8,98.1,
Memphis Grizzlies,0.443,0.354,0.492,0.75092936802974,9.3,32.8,20.1,7,5,14.3,20.8,100,
Dallas Mavericks,0.469,0.38,0.51,0.771300448430493,8.9,35.6,21.3,6.5,3.4,14.9,19.4,100.8,
Miami Heat,0.45,0.343,0.49,0.780590717299578,10.2,33.4,19.6,6.8,4.9,13.7,18.7,102.1,
Chicago Bulls,0.456,0.345,0.503,0.768421052631579,10.3,32.9,23.6,7.3,4.6,13.4,18.8,102.4,
Detroit Pistons,0.46,0.366,0.502,0.780952380952381,8,34.9,23.5,6.7,4.1,12.8,17.5,102.5,
Toronto Raptors,0.449,0.354,0.495,0.777310924369748,10.1,31.9,21.8,6.7,4.8,14.6,20.3,102.6,
Milwaukee Bucks,0.458,0.353,0.512,0.771551724137931,10.3,32.1,24.1,7.4,4.6,14.7,19.3,103.8,
Atlanta Hawks,0.444,0.357,0.491,0.772277227722772,10.7,33.2,23.4,9,5.2,15.4,21.6,104,
Golden State Warriors,0.435,0.324,0.485,0.762931034482759,11.7,31.8,22.7,8.6,3.8,15.5,19.4,104.3,
Los Angeles Clippers,0.452,0.35,0.497,0.769230769230769,10.2,32.9,23.1,7,3.1,13.2,22.4,104.4,
Charlotte Hornets,0.456,0.369,0.506,0.78021978021978,8.9,35.5,24.5,6.6,5.5,13.1,19.9,104.7,
Indiana Pacers,0.451,0.355,0.501,0.788381742738589,10.7,33.5,22.3,8.1,5,14.9,19.5,105.3,
Boston Celtics,0.45,0.332,0.505,0.76706827309237,10.8,33.8,22.6,7.6,5.2,13.9,20.3,105.4,
Oklahoma City Thunder,0.459,0.356,0.502,0.765432098765432,9.1,31.5,21.4,8.5,5.5,13.8,20.7,105.8,
New Orleans Pelicans,0.45,0.353,0.499,0.763285024154589,10.6,37.7,23.4,7.4,4.2,14,19.3,106.4,
Minnesota Timberwolves,0.475,0.366,0.528,0.768558951965066,9.8,30.6,23.1,7.7,5,14.3,20.5,106.7,
Sacramento Kings,0.462,0.364,0.517,0.78099173553719,10.1,32.8,23.7,8.5,5.1,14,20.1,106.7,
Cleveland Cavaliers,0.458,0.361,0.504,0.775,11,33.2,24.7,7.3,4.3,12.6,20.6,107.2,
Washington Wizards,0.466,0.364,0.514,0.752066115702479,10.6,32.5,22.8,7.4,4.6,15.3,19.8,107.4,
Orlando Magic,0.467,0.367,0.51,0.766519823788546,9.7,35.8,23.6,7.6,5.1,13,18.7,107.6,
New York Knicks,0.455,0.348,0.506,0.772727272727273,11.6,33.1,21.8,7.5,4.6,12.9,18.5,108,
Philadelphia 76ers,0.461,0.357,0.503,0.773076923076923,10.8,34.2,22.7,8.6,5.4,15.1,19.6,108.1,
Portland Trail Blazers,0.455,0.37,0.489,0.784905660377359,10.1,33.9,20.6,7.7,5.3,12.8,19.8,108.5,
Houston Rockets,0.463,0.343,0.522,0.779279279279279,10.7,33.4,24.1,8.5,5,15.1,20.4,109.6,
Denver Nuggets,0.477,0.375,0.519,0.780821917808219,9.4,31.4,24,8.3,4.9,12,20.2,111.2,
Los Angeles Lakers,0.483,0.37,0.536,0.7625,10.3,34.2,25.7,8.5,5.4,14.5,18.5,111.5,
Brooklyn Nets,0.458,0.366,0.498,0.772,11,36.2,23,9.5,5.6,13.3,20.4,112.5,
Phoenix Suns,0.467,0.382,0.504,0.783505154639175,10.2,33.8,22.2,8.1,5.3,14.9,22.2,113.3,
League Average,0.457,0.358,0.503,0.770562770562771,10.1,33.4,22.6,7.7,4.7,14,19.9,105.6,
