Winner,Visitor,FG%,3P%,2P%,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,Home,OFG%,O3P%,O2P%,OFT%,OORB,ODRB,OAST,OSTL,OBLK,OTOV,OPF,OPTS
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,26,0.46,0.38,0.49,0.235869565217391,11,32.5,21.7,8,4.3,14.1,19.1,101.2
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,29,0.435,0.335,0.465,0.747619047619048,11.7,31.7,20.2,7.5,5.4,12.2,21.2,97.8
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,13,0.439,0.341,0.483,0.766169154228856,11.6,32.1,23.5,7.4,4.9,16.1,19.6,97.1
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,15,0.463,0.368,0.499,0.751091703056769,10.1,33.4,23.4,7.7,5.4,14.5,17.9,101.4
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,7,0.44,0.343,0.479,0.742857142857143,11.2,31.5,22.1,7.8,4.6,13.6,20.4,101.8
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,14,0.443,0.322,0.487,0.75,11.9,32,21.4,8.9,5.3,16.4,21.1,100.5
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,28,0.456,0.349,0.5,0.748917748917749,11,30.2,23.3,8.7,6.2,12.9,23.9,105
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,8,0.456,0.343,0.497,0.743718592964824,10.8,30.3,24.1,7.8,4.5,13.3,20.5,98.7
0,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,6,0.44,0.357,0.47,0.774509803921569,8.9,35.2,22.1,6.1,5.4,12.6,20.8,97.3
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,5,0.456,0.358,0.494,0.732394366197183,11.4,32.9,23.7,7.8,4.5,13.9,20,100.9
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,10,0.454,0.353,0.495,0.732758620689655,10.9,30.1,21.3,7.9,4.4,14.8,20.9,97.3
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,22,0.456,0.355,0.491,0.772946859903382,10.7,33.4,23.8,7,4.8,14,19.3,99.5
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,2,0.487,0.367,0.531,0.759615384615385,11.6,31.9,23.6,8.4,5.5,15.2,21.4,106.5
1,1,0.408,0.32,0.449,0.676,11.9,30.9,20.5,9.6,5.9,17.7,21.7,92,15,0.463,0.368,0.499,0.751091703056769,10.1,33.4,23.4,7.7,5.4,14.5,17.9,101.4
